#,Label,Content
1,ALPHA BUILD,"This website is in alpha. Expect bugs, missing assets, and the dangerous optimism of a solo developer who ""just has a few things left to do."""
2,PATCH NOTES,"v0.1.0 | Core systems are in place. Content patch dropping soon. | Known issue: no content. Workaround: come back later."
3,CRAFTING MENU,"Crafting in progress. | Wood ██████░░░░ | Steel ████░░░░░░ | Excuses ██████████ | ETA: when it's done."
4,NPC DIALOGUE,"""You look like someone who knows what good design feels like."" — An NPC who clearly knows what he's talking about. | Raoul Paraschiv. Game Designer. Site loading."
5,SAVE POINT,"You've reached a save point. Rest here — something worth playing is being built just ahead. | Progress will not be lost."
6,NEW GAME+,"New Game+. | All skills carried over. The designer knows what he's doing this time."
7,ACHIEVEMENT UNLOCKED,"🏆 ""Found It First"" | You arrived before the site was ready. The game designer notes your initiative. Respect."
8,LOADING TIP,"Good level design teaches without telling you anything. | This page is already doing that."
9,SECRET AREA DISCOVERED,"★ | You weren't supposed to find this yet. Since you're here — Raoul Paraschiv, game designer. You'll want to bookmark this."
10,SIDE QUEST UNLOCKED,"""Meet the Game Designer"" | Reward: A collaborator who makes things feel alive. | Recommended level: Anyone who cares about craft."
